Homework 1 ,Homework 2 ,Homework 3 ,Homework 4 ,Homework 5,Quiz 1,Quiz 2 ,Quiz 3 ,Quiz 4 ,Quiz 5 ,Quiz 6 ,Quiz 7 ,Quiz 8,Quiz 9 ,Quiz 10 ,Midterm,Final,Total,Control (0)/ Treatment (1)
59.5,48,0,0,,4,0,4,4,6,0,0,0,0,0,0,0,11.66,0
104,112,110,97,97,9,9,9.5,10,8,7,10,10,10,10,35,33,100.18,0
83,98,106.5,93,97,6,6,8,5,6,10,10,7.5,6,6,30,28,88.19,0
45.5,88,78,89,93,0,0,7,4,0,0,6,8,5.5,6,26,26,73,0
101,89,102,94.5,100,6,4,9,10,4,9,9,6.5,8,10,32,34,94.53,0
91,80,50,92,64,5,4,1,6,8,8,6,8.5,6,8,21,20,62.8,0
91,81,82.5,77,85,7,9,6,9,10,9.5,10,10,3,9,34,31,86.25,0
107,93,96,91,,7,5,6,7,8,8,9,7.5,4,10,26,23,84.01,0
95,95,108,100,101,6,4,9,10,10,10,10,10,8,10,35,33,97.58,0
96,102,88,88,92,9,6,7,10,10,10,7,9,6,7,22,15,78.88,0
101.5,109,109,96,99,10,8,10,9,10,10,10,8.5,8,10,34,33,100.59,0
87,0,72,44,,0,6,0,5,6,0,0,0,0,,28,0,30.63,0
95.5,72,98,95,99,5,0,4,6,2,6,8,7.5,5,10,23,32,83.11,0
93,86,92,96,,9,9,8,9,8,10,10,9,10,9,32,29,91.96,0
85,82.5,54,0,,6,0,7,0,10,0,0,5,0,0,16,0,29.07,0
73.5,97,93.5,92,97,9,8,7,6,10,10,8,8.5,9,7.5,33,31,89.41,0
110,103,110,100,94,8,6,2,5,8,10,10,9,8,7.5,33,28,93.42,0
104,84,98,96,98,9,9,9,5,10,8,10,9,6,10,34,33,95.4,0
84,70,0,86,93,5,6,7,0,10,0,0,0,0,10,26,21,63.27,0
79.5,80,94,78,76,7,0,6,6,8,8,10,6.5,2,4,16,27,71.6,0
100,0,0,0,,2,9,2,7,0,0,0,0,0,0,29,0,23.93,0
82,44,83,63,77,7,6,5,8,6,7,2,4.5,4,9,20,19,63.53,0
55,93,106,90,,0,3,2,6,1.5,5,10,7.5,4,4,18,29,75.91,0
103,88,99,98,95,8,3,6,5,9,6,10,7.5,5,5,16,27,81.06,0
88,97,110,100,94,0,4,0,5,9,9,10,6,1,7.5,24,17,76.4,0
99,109,110,103,104,9,10,10,10,10,8,10,10,9,8,35,33,101.91,0
96,84.5,86.5,90.5,99.5,7,4,7,9,10,8,8,8.5,5,0,25,33,88.02,0
77,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,6.58,0
79.5,104.5,81,97,88,4,2,6,7,7.5,9,10,4.5,5,0,25,25,79.78,0
